experiment,system,eval_domain,k,n_seeds,n_test,mean_f1,std_f1,ece,shortcut_gap,f1_MI_mean,f1_ML_mean,f1_PG_mean,f1_AC_mean
a,majority,math,0,1,473,0.2529586686514784,,,,0.294811320754717,0.2597849462365591,0.23470319634703196,0.22253521126760564
a2,tfidf_logreg,math,0,1,473,0.5174270835663792,,0.07645656572578091,-0.12205190563558622,0.5441097959555712,0.5092839527132006,0.5015079779401549,0.5148066076565904
c,math_trained,math,0,5,473,0.5210629274717027,0.015268403176614239,0.0461285625558827,0.14578379925331786,0.6030076570673228,0.4802830464698369,0.48148723740265503,0.5194737689469962
c,tfidf_math_trained,math,0,1,473,0.5174270835663792,,0.07645656572578091,-0.12205190563558622,0.5441097959555712,0.5092839527132006,0.5015079779401549,0.5148066076565904
c,tfidf_math_trained,programming,0,1,20,0.22885154061624646,,0.2481094672032118,-0.6911910060045537,0.19999999999999998,0.38888888888888884,0.25396825396825395,0.07254901960784314
d,tfidf_math_plus_k,programming,0,3,9,0.20808080808080806,0.0,0.2171662945968541,-0.3884709899646898,0.12121212121212122,0.4222222222222222,0.2222222222222222,0.06666666666666667
d,tfidf_math_plus_k,programming,2,3,9,0.18312644145977477,0.06328962767510382,0.24204221905590176,-0.6484087249149252,0.21158594491927826,0.16666666666666666,0.2098087098087098,0.14444444444444446
d,tfidf_math_plus_k,programming,4,3,9,0.24267121767121766,0.057880155337679526,0.2579150727987127,-0.35479053991220716,0.13504273504273503,0.39153439153439157,0.23703703703703702,0.20707070707070707
d,tfidf_math_plus_k,programming,8,3,9,0.23683240778829015,0.044916863101671096,0.25882478661971997,-0.4293097969904234,0.20512820512820515,0.16666666666666666,0.3333333333333333,0.24220142602495542
e,tfidf_prog_only,programming,0,3,9,0.09294871794871795,0.0,0.19444444444444442,,0.20512820512820515,0.16666666666666666,0.0,0.0
e,tfidf_prog_only,programming,2,3,9,0.1106125356125356,0.047003366717935806,0.2463610299838234,-0.45726415802107995,0.24245014245014243,0.19999999999999998,0.0,0.0
e,tfidf_prog_only,programming,4,3,9,0.1969805929364753,0.09189296238129971,0.1794043766941503,-0.4769982021925518,0.20512820512820515,0.21616161616161614,0.16483516483516483,0.20179738562091507
e,tfidf_prog_only,programming,8,3,9,0.24285534726711197,8.086138223941506e-05,0.2990669115550179,-0.7824884252135749,0.20512820512820515,0.16666666666666666,0.2793650793650793,0.3202614379084967
