experiment,system,eval_domain,k,seed,n_test,mean_macro_f1,f1_MI,ci_low_MI,ci_high_MI,f1_ML,ci_low_ML,ci_high_ML,f1_PG,ci_low_PG,ci_high_PG,f1_AC,ci_low_AC,ci_high_AC,ece_mean,max_shortcut_gap
a2,tfidf_logreg,math,0,0,473,0.5174270835663792,0.5441097959555712,0.4946468391121919,0.6039656554279162,0.5092839527132006,0.4466879579165739,0.5732023335868065,0.5015079779401549,0.4395166105650424,0.5613914922433669,0.5148066076565904,0.463584954862196,0.5650174613921604,0.07645656572578091,-0.12205190563558622
a2,tfidf_logreg,programming,0,0,45,0.532791344228998,0.5076536771452026,0.25641025641025644,0.7238095238095239,0.3967797584818862,0.21371070958027505,0.5656565656565656,0.6562678062678063,0.2745098039215686,0.7967110959216213,0.570464135021097,0.2745098039215686,0.6535947712418301,0.28187667457847065,-0.3465542247236406
a,majority,math,0,0,473,0.2529586686514784,0.294811320754717,0.28525252525252526,0.3028239705823997,0.2597849462365591,0.24381248820977175,0.2737814496411389,0.23470319634703196,0.2174728607918263,0.24933972407735525,0.22253521126760564,0.20662768031189083,0.23711963765828334,,
a,majority,programming,0,0,45,0.27199450807045744,0.26666666666666666,0.2261904761904762,0.2948717948717949,0.2380952380952381,0.18279569892473116,0.2716049382716049,0.2869198312236287,0.26436781609195403,0.29696969696969694,0.2962962962962963,0.26436781609195403,0.31067961165048547,,
c,math_trained,math,0,0,473,0.5055662845483292,0.5950044253898285,0.5376491635575813,0.6659296918703466,0.4683450314518276,0.4392755782284456,0.4970240293767925,0.44288510576351275,0.40466388749129684,0.4821404175816731,0.5160305755881479,0.481231604782394,0.546932740419118,0.055188968872167087,0.13505247503942128
c,math_trained,math,0,1,473,0.525347283119193,0.6043198822137148,0.5464723318726161,0.6744508978337277,0.4844154925217361,0.45180743178275834,0.5176874595620713,0.4928436912645882,0.4419543527246121,0.5483179992012097,0.5198100664767331,0.4878587055716887,0.5541766096798374,0.03823411834857429,0.10516126577573089
c,math_trained,math,0,2,473,0.5043118211031568,0.5591369574378424,0.5257663478533708,0.5917023707794292,0.47520780393361445,0.44376341646642026,0.5059231370232602,0.46407785057528966,0.4192357508878244,0.5107022105982467,0.5188246724658803,0.49420704809927385,0.5421308713797347,0.04528694711704335,0.14122205131496784
c,math_trained,math,0,3,473,0.5339447060199386,0.633354898298809,0.5679656633630011,0.7104266447789169,0.4774054888129616,0.4468418338955949,0.5067785659839529,0.5031336202140572,0.44817828208434257,0.5602506352605137,0.5218848167539267,0.4943960228961535,0.5472456680644324,0.04482926440919429,0.16126689181844234
c,math_trained,math,0,4,473,0.5361445425678959,0.6232221219964194,0.5536630095378829,0.7067078811326136,0.49604141562904447,0.46634205782169025,0.52475830279251,0.5044959191958273,0.45245576535513427,0.5602211217984978,0.5208187134502924,0.48857780050740307,0.5501094597723972,0.04710351403243446,0.18621631231802693
c,math_trained_cw,math,0,0,473,0.5341756660684956,0.6165700113068534,0.5445928851037604,0.6938698743987401,0.524791273165257,0.4592694810556352,0.5912321575299189,0.49484532859369307,0.441154014226188,0.5470074671007936,0.500496051208179,0.45933275838020743,0.5453508369423384,0.0910064028792603,0.18203533722312273
c,tfidf_math_trained,math,0,0,473,0.5174270835663792,0.5441097959555712,0.4946468391121919,0.6039656554279162,0.5092839527132006,0.4466879579165739,0.5732023335868065,0.5015079779401549,0.4395166105650424,0.5613914922433669,0.5148066076565904,0.463584954862196,0.5650174613921604,0.07645656572578091,-0.12205190563558622
c,tfidf_math_trained,programming,0,0,400,0.21033406783407316,0.16483340385639886,0.11648357655608098,0.21792947387962483,0.269617443530487,0.22956893735024184,0.3144334115615424,0.2684382371147785,0.21096860752965121,0.32331943041101696,0.13844718683462817,0.0860767417676752,0.18437361021004983,0.23500624071677012,-0.4540109384772525
d,tfidf_math_plus_k,programming,0,0,162,0.18485414468205508,0.09878048780487804,0.05388387068405547,0.15051666034734193,0.27363918889811994,0.20554914789393022,0.3400602595503911,0.2743585728081852,0.18406180723439017,0.35658098845598846,0.09263832921703713,0.044211194983506195,0.13834041205064992,0.2301802776086609,-0.4366518739240468
d,tfidf_math_plus_k,programming,0,1,162,0.18485414468205508,0.09878048780487804,0.05391002668625162,0.1494607122945972,0.27363918889811994,0.2022287466042637,0.34248442488214553,0.2743585728081852,0.18547751035958362,0.36672979540438205,0.09263832921703713,0.04386237418495484,0.13692595875887528,0.2301802776086609,-0.4366518739240468
d,tfidf_math_plus_k,programming,0,2,162,0.18485414468205508,0.09878048780487804,0.05413883239084716,0.1482307682570976,0.27363918889811994,0.1997220621369228,0.3426893068294543,0.2743585728081852,0.18212625453854575,0.3602787802654702,0.09263832921703713,0.04617091242091243,0.1393744903617208,0.2301802776086609,-0.4366518739240468
d,tfidf_math_plus_k,programming,0,3,162,0.18485414468205508,0.09878048780487804,0.05436606221435943,0.14569043713972998,0.27363918889811994,0.20241460939063535,0.33747898638130275,0.2743585728081852,0.18295382366480467,0.36169665855684036,0.09263832921703713,0.04251000942784029,0.13895259096546417,0.2301802776086609,-0.4366518739240468
d,tfidf_math_plus_k,programming,0,4,162,0.18485414468205508,0.09878048780487804,0.05464571713251828,0.14773830085988363,0.27363918889811994,0.20458540328769334,0.3390398772467491,0.2743585728081852,0.18707819111283946,0.35579582750483735,0.09263832921703713,0.0433425362536413,0.13798639795980217,0.2301802776086609,-0.4366518739240468
d,tfidf_math_plus_k,programming,128,0,162,0.29511789294659263,0.26368159203980096,0.23076679340937895,0.2853968848908879,0.2941293770439499,0.2272645815537596,0.3408762155617076,0.32334087481146306,0.25270709599782615,0.44278166278166264,0.29931972789115646,0.2832796281314704,0.3132537669474892,0.13716876821145238,-0.49645339469858346
d,tfidf_math_plus_k,programming,128,1,162,0.2731525383821716,0.26368159203980096,0.23285110288585958,0.2869212283790203,0.27673527037933815,0.20860626614987082,0.3362747555162415,0.2528735632183908,0.22372664753343802,0.28362599681020734,0.29931972789115646,0.28373450770682607,0.3136177851422259,0.12740167756082904,-0.45520364204421615
d,tfidf_math_plus_k,programming,128,2,162,0.35609696150311193,0.3046448087431694,0.24498111328086478,0.35901562188527325,0.28522781154360105,0.2286500146925458,0.3386031533697611,0.47608556832694765,0.31005526105746256,0.6557335369718547,0.35842965739872956,0.28965423026191817,0.41703102453102453,0.1470619995218269,-0.5412100710440763
d,tfidf_math_plus_k,programming,128,3,162,0.2863402639920224,0.33178893178893176,0.2528678707574727,0.4133527367631274,0.23293172690763053,0.20220958959362714,0.2585063335679099,0.28132066938037087,0.24561403508771928,0.3341238618938525,0.29931972789115646,0.28310286895838715,0.3136123680241327,0.14366791027232878,-0.4843049027059554
d,tfidf_math_plus_k,programming,128,4,162,0.3191981482532912,0.296969696969697,0.24375494182762908,0.3618437809000726,0.25057471264367814,0.17839272066507575,0.3058733310975853,0.36830082586540147,0.26048035924884333,0.44220675024107997,0.3609473575343882,0.29131516684343645,0.42222435078756915,0.15798897312553736,-0.46205118454911875
d,tfidf_math_plus_k,programming,16,0,162,0.30853856782817113,0.3006672711631908,0.2370355107855108,0.3526005169102328,0.3477032083432848,0.2599204330338671,0.4110824690236454,0.251621271076524,0.2222222222222222,0.28182171174106657,0.33416252072968494,0.2859126272022752,0.3826786288034316,0.17215325122671377,-0.5238370974688125
d,tfidf_math_plus_k,programming,16,1,162,0.2944667358778675,0.29525641025641025,0.2304354983956862,0.3704768667403825,0.28454550017567637,0.21658022043189057,0.33995321379580634,0.2545561434450323,0.2021781905517363,0.3283954853168827,0.34350888963435094,0.28231028303052774,0.41053673163418275,0.15465845305326173,-0.5726613221206557
d,tfidf_math_plus_k,programming,16,2,162,0.3144913776377781,0.30349248452696725,0.2347637190619647,0.3566457536694834,0.31257982120051087,0.21419644730014684,0.3992308005987851,0.3246311084820402,0.2466076103860312,0.4190275325479729,0.31726209634159425,0.26362806476425577,0.3582678867566927,0.10081583093059304,-0.49304589100313756
